updateTime,latitude,longitude,speed,direction,address
1771406428000,-8.815938,13.229861,1490.8600000000001,194,
1771406434000,-8.81631,13.229805,2965.052,185,
1771406438000,-8.816657,13.22973,3524.3559999999998,201,
1771406440000,-8.81685,13.229685,3713.2599999999998,195,
1771406448000,-8.817324,13.229462,931.5559999999999,225,
1771406450000,-8.81731,13.229412,742.652,278,
1771406464000,-8.817282,13.229513,385.216,96,
1771406482000,-8.817357,13.229482,572.268,204,
1771406484000,-8.817357,13.229622,1118.608,74,
1771406488000,-8.817338,13.229709,1303.808,75,
1771406489000,-8.817355,13.229835,1672.3560000000002,102,
1771406502000,-8.818314,13.230864,4637.408,134,
1771406512000,-8.819052,13.231633,2046.4599999999998,144,
1771406521000,-8.819632,13.232095,2415.0080000000003,142,
1771406524000,-8.819741,13.232166,2231.66,147,
1771406536000,-8.820467,13.23273,2413.156,145,
1771406547000,-8.821075,13.232735,1490.8600000000001,148,
1771406557000,-8.821643,13.233082,1496.416,116,
1771406559000,-8.821678,13.233151,1492.712,103,
1771406563000,-8.821682,13.2332735,1481.6,61,
1771406572000,-8.821315,13.233902,4452.2080000000005,54,
1771406577000,-8.821036,13.23433,2046.4599999999998,47,
1771406581000,-8.820943,13.234473,926,81,
1771406583000,-8.821032,13.23455,2594.652,150,
1771406589000,-8.821475,13.234854,3709.5559999999996,129,
1771406596000,-8.821812,13.235237,3165.068,137,
1771406607000,-8.822574,13.236043,1492.712,162,
1771406611000,-8.822652,13.235965,1679.764,232,
1771406620000,-8.823096,13.235472,4635.556,224,
1771406623000,-8.823468,13.235164,4452.2080000000005,216,
1771406631000,-8.823796,13.2348385,1672.3560000000002,281,
1771406641000,-8.823718,13.234302,750.0600000000001,254,
1771406644000,-8.823742,13.234255,926,256,
1771406655000,-8.824015,13.233765,1300.104,259,
1771406659000,-8.824079,13.233695,744.504,237,
1771406661000,-8.824097,13.233646,753.764,274,
1771406664000,-8.824074,13.23359,1124.164,314,
1771406668000,-8.823994,13.233475,753.764,301,
1771406672000,-8.824,13.233425,935.26,236,
1771406676000,-8.824088,13.233262,1122.3120000000001,206,
1771406680000,-8.824202,13.23317,740.8,213,
1771406686000,-8.824308,13.233144,938.9639999999999,128,
